Wall time,Step,Value
1554019315,0,0.881869435
1554019959,1,0.900459766
1554020621,2,0.918609321
1554021270,3,0.934419632
1554021886,4,0.948992729
1554022505,5,0.941598773
1554023128,6,0.951601207
1554023747,7,0.94595468
1554024350,8,0.953182936
1554024963,9,0.944341362
1554025585,10,0.944744706
1554026197,11,0.944825351
1554026792,12,0.945228696
1554027389,13,0.955116868
1554027990,14,0.9563604
1554028589,15,0.952165842
1554029182,16,0.94659996
1554029784,17,0.95382756
1554030400,18,0.950229883
1554031016,19,0.944502711
1554031631,20,0.955795765
1554032237,21,0.949798524
1554032825,22,0.957570374
1554033415,23,0.951359212
1554034004,24,0.948697269
1554034592,25,0.953698456
1554035182,26,0.928686559
1554035778,27,0.94627732
1554036394,28,0.950310588
1554037008,29,0.943615377
1554037623,30,0.943835616
1554038238,31,0.953940451
1554038852,32,0.948374629
1554039454,33,0.953214467
1554040043,34,0.955761492
1554040633,35,0.954505146
1554041223,36,0.95506978
1554041811,37,0.959425688
1554042399,38,0.957651019
1554042998,39,0.956728458
1554043617,40,0.961522937
1554044239,41,0.960474312
1554044851,42,0.957167029
1554045439,43,0.955761492
1554046030,44,0.957973719
1554046619,45,0.946115971
1554047203,46,0.945793331
1554047792,47,0.943513274
1554048383,48,0.939340174
1554049014,49,0.947971284
