Wall time,Step,Value
1554019315,0,0.504876196
1554019959,1,0.467109531
1554020621,2,0.444922149
1554021270,3,0.393190086
1554021886,4,0.377038836
1554022505,5,0.366787106
1554023128,6,0.318587482
1554023747,7,0.359491438
1554024350,8,0.307617366
1554024963,9,0.318925411
1554025585,10,0.362944216
1554026197,11,0.389341325
1554026792,12,0.384189427
1554027389,13,0.318597466
1554027990,14,0.2605654
1554028589,15,0.339897066
1554029182,16,0.353851825
1554029784,17,0.261304617
1554030400,18,0.315068066
1554031016,19,0.353970557
1554031631,20,0.324936479
1554032237,21,0.344584316
1554032825,22,0.263694555
1554033415,23,0.327634394
1554034004,24,0.326296449
1554034592,25,0.323739111
1554035182,26,0.479949027
1554035778,27,0.35302189
1554036394,28,0.327507108
1554037008,29,0.375008166
1554037623,30,0.375045598
1554038238,31,0.349006236
1554038852,32,0.328587234
1554039454,33,0.368657798
1554040043,34,0.318946838
1554040633,35,0.342921644
1554041223,36,0.331182152
1554041811,37,0.316169083
1554042399,38,0.336391628
1554042998,39,0.327103198
1554043617,40,0.31068942
1554044239,41,0.313687384
1554044851,42,0.326764584
1554045439,43,0.329513818
1554046030,44,0.334609807
1554046619,45,0.378197491
1554047203,46,0.352317333
1554047792,47,0.376649827
1554048383,48,0.398854911
1554049014,49,0.32801196
